"","CATT_Train_Bias","CATT_Test_Bias","CATT_Train_PEHE","CATT_Test_PEHE","CATT_Train_RLOSS","CATT_Test_RLOSS","CATC_Train_Bias","CATC_Test_Bias","CATC_Train_PEHE","CATC_Test_PEHE","CATC_Train_RLOSS","CATC_Test_RLOSS"
"S-BART",1.23054788835795,1.19679611014838,0.204400136311805,0.130568278150593,0.000256809558669757,0.00150857540327462,0.852800219097034,0.748841723860355,0.276792089281141,0.148329896035922,0.00112343570807428,0.00209783767747503
"T-BART",1.54036235304835,1.44050895063837,0.40945433595777,0.680282272639942,0.000233820337713487,0.00152550708473807,0.724879174399082,0.367773474226007,0.28633208969353,0.103132241409948,0.00121588974216496,0.00225461164529948
"X-BART",1.05456124527195,0.973310082248322,0.234619681551535,0.193342934167321,0.000296417753501434,0.0014759704297266,0.817094350423163,0.367390697907058,0.488857397068138,0.418264105363187,0.00125532604010453,0.00202379040860317
"R-LASSO",1.24591464792841,1.04345251191439,0.443292316491268,0.438396671790562,0.000196761940170918,0.00149367710412866,0.964803712948951,0.904137403635249,0.256098374187994,0.23935074867253,0.00116671362728421,0.00205303800562732
"R-BOOST",0.352510739314799,0.128112179699655,0.103480305101891,0.0376784764312537,0.000336947284709429,0.00163978995146786,0.299562484924285,0.269372007101445,0.183801144623953,0.11767281072678,0.00104172413249055,0.0019646381220184
"CF",0.790654855963686,0.56833302007596,0.0989758091724388,0.109431126151483,0.00033303999852027,0.00161967543493303,0.731506906857818,0.714510663739536,0.235169762012938,0.240164006913044,0.00106098310049434,0.00203256090190863
"BCF",1.09689657369415,1.13096517815046,0.577566702581039,0.582165243553008,0.000400270948998077,0.00156440340054439,0.802202103238233,0.542792299155273,0.670622159474888,0.555428817578767,0.00142060681521731,0.00197086585676059
"S-RF",1.48602589378045,1.70862762568157,0.546037047186921,0.563718308790984,0.000126978491935286,0.00157272808747583,0.73427144383726,0.0647963848037235,0.237631634770284,0.491758923149116,0.000976445660101814,0.0022421010508216
"T-RF",1.34344778782084,1.66472863334776,0.622430225405983,0.587332591114908,0.000123033559095374,0.00158627802837048,0.69065984481535,0.176695020149857,0.242808710661993,0.718074623310188,0.000974803600988282,0.00228374151335514
"X-RF",0.863499851764576,0.836493274769301,0.21398229646634,0.270471506093104,0.000308587678403945,0.00151696788059446,0.617601475032226,0.363888433468933,0.564743995427973,0.735475424157792,0.00116793334847793,0.00206546407381065
